sepal_length,sepal_width,especie
5.1,3.5,setosa
4.9,,setosa
4.7,3.2,
5.0,3.6,setosa
5.4,3.9,setosa
4.6,3.4,setosa
5.0,3.4,setosa
4.4,2.9,setosa
4.9,3.1,setosa
5.4,3.7,setosa
,3.2,versicolor
6.4,3.2,versicolor
6.9,3.1,versicolor
5.5,2.3,versicolor
6.5,2.8,versicolor
5.7,2.8,versicolor
6.3,3.3,versicolor
4.9,2.4,versicolor
6.2,2.8,versicolor
5.9,3.0,versicolor
6.3,3.3,virginica
5.8,2.7,virginica
7.7,3.0,virginica
6.3,2.9,virginica
6.5,3.0,virginica
7.6,3.0,virginica
6.1,2.6,virginica
6.8,3.2,virginica
5.7,2.5,virginica
6.4,3.2,virginica
